"lon","lat","dateTime","refID","tripID","contBlock"
-24.6108900132675,16.5866083306229,2017-01-26 12:37:00,29,1,1
-24.6249554762707,16.5325678763501,2017-01-26 12:42:00,29,1,1
-24.6384095234368,16.4794873210885,2017-01-26 12:47:00,29,1,1
-24.6507142522701,16.4282111507713,2017-01-26 12:52:00,29,1,1
-24.6613317602746,16.3795838513323,2017-01-26 12:57:00,29,1,1
-24.6697245135477,16.334449786694,2017-01-26 13:02:00,29,1,1
-24.6755296464944,16.2935955025333,2017-01-26 13:07:00,29,1,1
-24.6788376390461,16.2576574792773,2017-01-26 13:12:00,29,1,1
-24.6798115665451,16.2272481670102,2017-01-26 13:17:00,29,1,1
-24.6786148552145,16.2029792138641,2017-01-26 13:22:00,29,1,1
-24.6755989756309,16.1850324846587,2017-01-26 13:27:00,29,1,1
-24.6716129009542,16.1724527810467,2017-01-26 13:32:00,29,1,1
-24.6675869380465,16.1640990130703,2017-01-26 13:37:00,29,1,1
-24.6644507802442,16.158830342877,2017-01-26 13:42:00,29,1,1
-24.6627835998319,16.1556499662726,2017-01-26 13:47:00,29,1,1
-24.6622282623716,16.1539458196705,2017-01-26 13:52:00,29,1,1
-24.6622729726111,16.1531693916239,2017-01-26 13:57:00,29,1,1
-24.6624061632796,16.1527723783416,2017-01-26 14:02:00,29,1,1
-24.6622650835406,16.1523420250038,2017-01-26 14:07:00,29,1,1
-24.6618922213509,16.1518346872436,2017-01-26 14:12:00,29,1,1
-24.6613983970384,16.1512689610148,2017-01-26 14:17:00,29,1,1
-24.6608943881114,16.150663440995,2017-01-26 14:22:00,29,1,1
-24.6604610104062,16.15003582879,2017-01-26 14:27:00,29,1,1
-24.6600967013838,16.1494013705415,2017-01-26 14:32:00,29,1,1
-24.6597858640545,16.1487748940643,2017-01-26 14:37:00,29,1,1
-24.6595129039139,16.1481712181859,2017-01-26 14:42:00,29,1,1
-24.6592643960911,16.1475973168429,2017-01-26 14:47:00,29,1,1
-24.6590330565925,16.147037959985,2017-01-26 14:52:00,29,1,1
-24.65881268031,16.1464740165637,2017-01-26 14:57:00,29,1,1
-24.6585970638483,16.1458863582433,2017-01-26 15:02:00,29,1,1
-24.6583837613272,16.1452618064346,2017-01-26 15:07:00,29,1,1
-24.65818205175,16.1446057480359,2017-01-26 15:12:00,29,1,1
-24.658003494673,16.1439271810318,2017-01-26 15:17:00,29,1,1
-24.6578596496346,16.1432351033932,2017-01-26 15:22:00,29,1,1
-24.657758084567,16.1425354086242,2017-01-26 15:27:00,29,1,1
-24.6576911794187,16.1418221777941,2017-01-26 15:32:00,29,1,1
-24.6576477023532,16.1410866829108,2017-01-26 15:37:00,29,1,1
-24.6576164277593,16.1403202203229,2017-01-26 15:42:00,29,1,1
-24.6575908087555,16.1395323802638,2017-01-26 15:47:00,29,1,1
-24.6575772872356,16.1387835392177,2017-01-26 15:52:00,29,1,1
-24.6575845407792,16.138142815224,2017-01-26 15:57:00,29,1,1
-24.6576212322399,16.137679237635,2017-01-26 16:02:00,29,1,1
-24.6576841107878,16.1373900844786,2017-01-26 16:07:00,29,1,1
-24.6577365303008,16.137071507371,2017-01-26 16:12:00,29,1,1
-24.657736037254,16.1364846822786,2017-01-26 16:17:00,29,1,1
-24.6576402172374,16.1353910158799,2017-01-26 16:22:00,29,1,1
-24.6574466905422,16.1337880539441,2017-01-26 16:27:00,29,1,1
-24.6572686109958,16.132354800654,2017-01-26 16:32:00,29,1,1
-24.6572398496527,16.1318924578602,2017-01-26 16:37:00,29,1,1
-24.6574941534317,16.1332014038633,2017-01-26 16:42:00,29,1,1
-24.6580382138611,16.1362390956398,2017-01-26 16:47:00,29,1,1
-24.6585120615959,16.1385304584444,2017-01-26 16:52:00,29,1,1
-24.6584899784464,16.1371642211365,2017-01-26 16:57:00,29,1,1
-24.6575464920588,16.1292307732919,2017-01-26 17:02:00,29,1,1
-24.655507748494,16.1135202833846,2017-01-26 17:07:00,29,1,1
-24.6529260229998,16.0937282010495,2017-01-26 17:12:00,29,1,1
-24.6504837987599,16.0744295804672,2017-01-26 17:17:00,29,1,1
-24.6488633292541,16.0601979604723,2017-01-26 17:22:00,29,1,1
-24.6484912603762,16.0539206459925,2017-01-26 17:27:00,29,1,1
-24.6490493900868,16.0535712073571,2017-01-26 17:32:00,29,1,1
-24.6500845820968,16.0562330585809,2017-01-26 17:37:00,29,1,1
-24.651143824576,16.0589904397925,2017-01-26 17:42:00,29,1,1
-24.6519014921389,16.0597731365289,2017-01-26 17:47:00,29,1,1
-24.6523995756398,16.0589510387231,2017-01-26 17:52:00,29,1,1
-24.6527459860919,16.0573315906188,2017-01-26 17:57:00,29,1,1
-24.6530486235959,16.0557220717463,2017-01-26 18:02:00,29,1,1
-24.6533994973844,16.0546899158694,2017-01-26 18:07:00,29,1,1
-24.6538429359578,16.0540828967527,2017-01-26 18:12:00,29,1,1
-24.6544143622991,16.0536143744397,2017-01-26 18:17:00,29,1,1
-24.6551491840171,16.0529977452274,2017-01-26 18:22:00,29,1,1
-24.6560279602952,16.0520757421225,2017-01-26 18:27:00,29,1,1
-24.6568532305738,16.0511108820662,2017-01-26 18:32:00,29,1,1
-24.6573914807178,16.0504506990411,2017-01-26 18:37:00,29,1,1
-24.6574092201485,16.0504425193806,2017-01-26 18:42:00,29,1,1
-24.6567246171837,16.0509782955424,2017-01-26 18:47:00,29,1,1
-24.6553170356856,16.0505290390666,2017-01-26 18:52:00,29,1,1
-24.6531971929096,16.0472893809053,2017-01-26 18:57:00,29,1,1
-24.6503758256904,16.0394542704618,2017-01-26 19:02:00,29,1,1
-24.6469178195618,16.0260993794815,2017-01-26 19:07:00,29,1,1
-24.6430603793651,16.0091031333586,2017-01-26 19:12:00,29,1,1
-24.6390749116222,15.9909002438683,2017-01-26 19:17:00,29,1,1
-24.6352328017041,15.9739253729895,2017-01-26 19:22:00,29,1,1
-24.6315668888044,15.9600515565225,2017-01-26 19:27:00,29,1,1
-24.6272802120508,15.9491981731425,2017-01-26 19:32:00,29,1,1
-24.6213954940104,15.9408600694612,2017-01-26 19:37:00,29,1,1
-24.6129354859815,15.934532060773,2017-01-26 19:42:00,29,1,1
-24.6012469861329,15.9293557506785,2017-01-26 19:47:00,29,1,1
-24.5868040130179,15.923244070456,2017-01-26 19:52:00,29,1,1
-24.5703255315472,15.9138429593971,2017-01-26 19:57:00,29,1,1
-24.5525305921538,15.8987990475127,2017-01-26 20:02:00,29,1,1
-24.5343064857293,15.8771177546761,2017-01-26 20:07:00,29,1,1
-24.5170603520791,15.8520030475268,2017-01-26 20:12:00,29,1,1
-24.5022994258054,15.8274673058308,2017-01-26 20:17:00,29,1,1
-24.4915307067556,15.8075223963645,2017-01-26 20:22:00,29,1,1
-24.4856845484371,15.7949200908005,2017-01-26 20:27:00,29,1,1
-24.4838741831966,15.7884413639455,2017-01-26 20:32:00,29,1,1
-24.4848558103534,15.786086997378,2017-01-26 20:37:00,29,1,1
-24.4873856292271,15.7858577726765,2017-01-26 20:42:00,29,1,1
-24.4902199487712,15.7857546798436,2017-01-26 20:47:00,29,1,1
-24.4924182870081,15.7843551359705,2017-01-26 20:52:00,29,1,1
-24.4940050748306,15.7820709423211,2017-01-26 20:57:00,29,1,1
-24.4951962576051,15.7796779860055,2017-01-26 21:02:00,29,1,1
-24.4962077707273,15.7779520810528,2017-01-26 21:07:00,29,1,1
-24.4972199792551,15.7774083216244,2017-01-26 21:12:00,29,1,1
-24.4982977987628,15.7777155919213,2017-01-26 21:17:00,29,1,1
-24.4994827633353,15.778371396868,2017-01-26 21:22:00,29,1,1
-24.5008164070576,15.7788732413891,2017-01-26 21:27:00,29,1,1
-24.5023402640146,15.778718630409,2017-01-26 21:32:00,29,1,1
-24.5040958682914,15.7774050688522,2017-01-26 21:37:00,29,1,1
-24.506124753973,15.7744300616433,2017-01-26 21:42:00,29,1,1
-24.5084684551442,15.7692911137068,2017-01-26 21:47:00,29,1,1
-24.5111685058902,15.761485729967,2017-01-26 21:52:00,29,1,1
-24.5142664276073,15.7505115291644,2017-01-26 21:57:00,29,1,1
-24.5177518198609,15.7363318638277,2017-01-26 22:02:00,29,1,1
-24.5214440897635,15.720436696288,2017-01-26 22:07:00,29,1,1
-24.5251278268557,15.7046282991196,2017-01-26 22:12:00,29,1,1
-24.5285876206781,15.6907089448968,2017-01-26 22:17:00,29,1,1
-24.5316080681618,15.6804808469068,2017-01-26 22:22:00,29,1,1
-24.5340571187117,15.675077546639,2017-01-26 22:27:00,29,1,1
-24.5360926693191,15.6733065625618,2017-01-26 22:32:00,29,1,1
-24.5379356229373,15.6734699655188,2017-01-26 22:37:00,29,1,1
-24.5398068691928,15.6738699122824,2017-01-26 22:42:00,29,1,1
-24.5418642778629,15.6732148929521,2017-01-26 22:47:00,29,1,1
-24.5440570974402,15.6715585259067,2017-01-26 22:52:00,29,1,1
-24.5462914650813,15.6692323986541,2017-01-26 22:57:00,29,1,1
-24.5484735213252,15.6665680925887,2017-01-26 23:02:00,29,1,1
-24.5505354494682,15.66385011489,2017-01-26 23:07:00,29,1,1
-24.5524982439988,15.6612024399247,2017-01-26 23:12:00,29,1,1
-24.5544018144034,15.6587148517987,2017-01-26 23:17:00,29,1,1
-24.5562860692999,15.6564771319111,2017-01-26 23:22:00,29,1,1
-24.5581828794459,15.6545540030969,2017-01-26 23:27:00,29,1,1
-24.5600964315642,15.6529238813762,2017-01-26 23:32:00,29,1,1
-24.5620249567026,15.6515466155561,2017-01-26 23:37:00,29,1,1
-24.5639666859087,15.6503820544438,2017-01-26 23:42:00,29,1,1
-24.5659198501736,15.6493900461664,2017-01-26 23:47:00,29,1,1
-24.5678818871676,15.6485209520775,2017-01-26 23:52:00,29,1,1
-24.5698474473785,15.6476918035264,2017-01-26 23:57:00,29,1,1
-24.5718105695273,15.646812316166,2017-01-27 00:02:00,29,1,1
-24.5737652923352,15.6457922056488,2017-01-27 00:07:00,29,1,1
-24.5757056545232,15.6445411876274,2017-01-27 00:12:00,29,1,1
-24.5776256948124,15.6429689777544,2017-01-27 00:17:00,29,1,1
-24.579519451924,15.6409852916825,2017-01-27 00:22:00,29,1,1
-24.5813809645791,15.6384998450642,2017-01-27 00:27:00,29,1,1
-24.5832042714986,15.6354223535523,2017-01-27 00:32:00,29,1,1
-24.5849834115986,15.6316625341885,2017-01-27 00:37:00,29,1,1
-24.5867382635117,15.6273143876349,2017-01-27 00:42:00,29,1,1
-24.5885860483212,15.6231661411683,2017-01-27 00:47:00,29,1,1
-24.5906669052075,15.6201694692875,2017-01-27 00:52:00,29,1,1
-24.5931209649742,15.6192760038819,2017-01-27 00:57:00,29,1,1
-24.5959714750715,15.6208428382855,2017-01-27 01:02:00,29,1,1
-24.5988310351718,15.6231382659369,2017-01-27 01:07:00,29,1,1
-24.601222110703,15.6239721036666,2017-01-27 01:12:00,29,1,1
-24.602667167093,15.621154168305,2017-01-27 01:17:00,29,1,1
-24.6026886752302,15.6124943014139,2017-01-27 01:22:00,29,1,1
-24.6010300796954,15.5968031525426,2017-01-27 01:27:00,29,1,1
-24.5982427182222,15.5765503856389,2017-01-27 01:32:00,29,1,1
-24.5950625095583,15.5550416472105,2017-01-27 01:37:00,29,1,1
-24.5922253724512,15.5355825837649,2017-01-27 01:42:00,29,1,1
-24.5904671929744,15.5214786910827,2017-01-27 01:47:00,29,1,1
-24.5902722778625,15.5148749063072,2017-01-27 01:52:00,29,1,1
-24.5912669962442,15.5139584214776,2017-01-27 01:57:00,29,1,1
-24.5928949937921,15.5160735085198,2017-01-27 02:02:00,29,1,1
-24.5945999278254,15.5185644945798,2017-01-27 02:07:00,29,1,1
-24.595956811993,15.5193985097581,2017-01-27 02:12:00,29,1,1
-24.5969975924009,15.5187091491006,2017-01-27 02:17:00,29,1,1
-24.5978535071319,15.5171007831148,2017-01-27 02:22:00,29,1,1
-24.5986557939861,15.5151777809769,2017-01-27 02:27:00,29,1,1
-24.599511814082,15.5134322123598,2017-01-27 02:32:00,29,1,1
