"","ID","Date_Time","Latitude","Longitude","BirdId","trip_id","Date","Time","DateTime","nestLoc_lat","nestLoc_lon","tripID","X","Y","Returns","StartsOut","ColDist","dataGroup.Longitude","dataGroup.Latitude"
"22","280132_1",2018-11-29 17:00:00,17.2629271985769,-29.1261289773487,"280132","280132_1",2018-11-29,"17:00:00",2018-11-29 17:00:00,14.970429,-24.638775,"280132_1_01",-29.1261289773487,17.2629271985769,"Yes","",542888.836109663,-29.1261289773487,17.2629271985769
"23","280132_1",2018-11-29 19:00:00,16.9203687577147,-28.9829312366581,"280132","280132_1",2018-11-29,"19:00:00",2018-11-29 19:00:00,14.970429,-24.638775,"280132_1_01",-28.9829312366581,16.9203687577147,"Yes","",512681.418941708,-28.9829312366581,16.9203687577147
"24","280132_1",2018-11-29 21:00:00,16.6413124326551,-28.917370785597,"280132","280132_1",2018-11-29,"21:00:00",2018-11-29 21:00:00,14.970429,-24.638775,"280132_1_01",-28.917370785597,16.6413124326551,"Yes","",494253.222907805,-28.917370785597,16.6413124326551
"25","280132_1",2018-11-29 23:00:00,16.4017184090181,-28.8391172614924,"280132","280132_1",2018-11-29,"23:00:00",2018-11-29 23:00:00,14.970429,-24.638775,"280132_1_01",-28.8391172614924,16.4017184090181,"Yes","",477296.915959988,-28.8391172614924,16.4017184090181
"26","280132_1",2018-11-30 01:00:00,16.1867572538985,-28.7564550388264,"280132","280132_1",2018-11-30,"01:00:00",2018-11-30 01:00:00,14.970429,-24.638775,"280132_1_01",-28.7564550388264,16.1867572538985,"Yes","",461681.452641636,-28.7564550388264,16.1867572538985
"27","280132_1",2018-11-30 03:00:00,15.9709870343512,-28.6593960362349,"280132","280132_1",2018-11-30,"03:00:00",2018-11-30 03:00:00,14.970429,-24.638775,"280132_1_01",-28.6593960362349,15.9709870343512,"Yes","",445424.804675048,-28.6593960362349,15.9709870343512
"28","280132_1",2018-11-30 05:00:00,15.7590075344435,-28.5363049080115,"280132","280132_1",2018-11-30,"05:00:00",2018-11-30 05:00:00,14.970429,-24.638775,"280132_1_01",-28.5363049080115,15.7590075344435,"Yes","",427453.235805483,-28.5363049080115,15.7590075344435
"29","280132_1",2018-11-30 07:00:00,15.5185255844595,-28.370555968848,"280132","280132_1",2018-11-30,"07:00:00",2018-11-30 07:00:00,14.970429,-24.638775,"280132_1_01",-28.370555968848,15.5185255844595,"Yes","",405449.859517981,-28.370555968848,15.5185255844595
"30","280132_1",2018-11-30 09:00:00,15.3069285968015,-28.1626201250682,"280132","280132_1",2018-11-30,"09:00:00",2018-11-30 09:00:00,14.970429,-24.638775,"280132_1_01",-28.1626201250682,15.3069285968015,"Yes","",380566.996698054,-28.1626201250682,15.3069285968015
"31","280132_1",2018-11-30 11:00:00,15.1654123502467,-28.0324409177134,"280132","280132_1",2018-11-30,"11:00:00",2018-11-30 11:00:00,14.970429,-24.638775,"280132_1_01",-28.0324409177134,15.1654123502467,"Yes","",365508.52145701,-28.0324409177134,15.1654123502467
"32","280132_1",2018-11-30 13:00:00,15.072340853793,-27.9308122361499,"280132","280132_1",2018-11-30,"13:00:00",2018-11-30 13:00:00,14.970429,-24.638775,"280132_1_01",-27.9308122361499,15.072340853793,"Yes","",354201.315140288,-27.9308122361499,15.072340853793
"33","280132_1",2018-11-30 15:00:00,14.9027957875076,-27.7829282636828,"280132","280132_1",2018-11-30,"15:00:00",2018-11-30 15:00:00,14.970429,-24.638775,"280132_1_01",-27.7829282636828,14.9027957875076,"Yes","",338334.654834513,-27.7829282636828,14.9027957875076
"34","280132_1",2018-11-30 17:00:00,14.6793369508226,-27.5388680953157,"280132","280132_1",2018-11-30,"17:00:00",2018-11-30 17:00:00,14.970429,-24.638775,"280132_1_01",-27.5388680953157,14.6793369508226,"Yes","",313813.484663757,-27.5388680953157,14.6793369508226
"35","280132_1",2018-11-30 19:00:00,14.4437002482262,-27.293319907874,"280132","280132_1",2018-11-30,"19:00:00",2018-11-30 19:00:00,14.970429,-24.638775,"280132_1_01",-27.293319907874,14.4437002482262,"Yes","",291759.627392464,-27.293319907874,14.4437002482262
"36","280132_1",2018-11-30 21:00:00,14.2104485836017,-27.1167454767444,"280132","280132_1",2018-11-30,"21:00:00",2018-11-30 21:00:00,14.970429,-24.638775,"280132_1_01",-27.1167454767444,14.2104485836017,"Yes","",279931.190049186,-27.1167454767444,14.2104485836017
"37","280132_1",2018-11-30 23:00:00,13.9686644027704,-26.9052336193943,"280132","280132_1",2018-11-30,"23:00:00",2018-11-30 23:00:00,14.970429,-24.638775,"280132_1_01",-26.9052336193943,13.9686644027704,"Yes","",268307.628714271,-26.9052336193943,13.9686644027704
"38","280132_1",2018-12-01 01:00:00,13.7447198760492,-26.6640235028383,"280132","280132_1",2018-12-01,"01:00:00",2018-12-01 01:00:00,14.970429,-24.638775,"280132_1_01",-26.6640235028383,13.7447198760492,"Yes","",257118.982652424,-26.6640235028383,13.7447198760492
"39","280132_1",2018-12-01 03:00:00,13.5517491973637,-26.4340770573366,"280132","280132_1",2018-12-01,"03:00:00",2018-12-01 03:00:00,14.970429,-24.638775,"280132_1_01",-26.4340770573366,13.5517491973637,"Yes","",249333.23986128,-26.4340770573366,13.5517491973637
"40","280132_1",2018-12-01 05:00:00,13.4308072108619,-26.2101078885194,"280132","280132_1",2018-12-01,"05:00:00",2018-12-01 05:00:00,14.970429,-24.638775,"280132_1_01",-26.2101078885194,13.4308072108619,"Yes","",240378.349007152,-26.2101078885194,13.4308072108619
"41","280132_1",2018-12-01 07:00:00,13.3243761964776,-26.0005839037495,"280132","280132_1",2018-12-01,"07:00:00",2018-12-01 07:00:00,14.970429,-24.638775,"280132_1_01",-26.0005839037495,13.3243761964776,"Yes","",234055.854587572,-26.0005839037495,13.3243761964776
"42","280132_1",2018-12-01 09:00:00,13.1146658507661,-25.7601726105283,"280132","280132_1",2018-12-01,"09:00:00",2018-12-01 09:00:00,14.970429,-24.638775,"280132_1_01",-25.7601726105283,13.1146658507661,"Yes","",238381.947361374,-25.7601726105283,13.1146658507661
"43","280132_1",2018-12-01 11:00:00,12.9702909494858,-25.5735540860206,"280132","280132_1",2018-12-01,"11:00:00",2018-12-01 11:00:00,14.970429,-24.638775,"280132_1_01",-25.5735540860206,12.9702909494858,"Yes","",243248.374418654,-25.5735540860206,12.9702909494858
"44","280132_1",2018-12-01 13:00:00,13.0454894698958,-25.5593130205014,"280132","280132_1",2018-12-01,"13:00:00",2018-12-01 13:00:00,14.970429,-24.638775,"280132_1_01",-25.5593130205014,13.0454894698958,"Yes","",235043.62598099,-25.5593130205014,13.0454894698958
"45","280132_1",2018-12-01 15:00:00,13.2774821942441,-25.6517468450172,"280132","280132_1",2018-12-01,"15:00:00",2018-12-01 15:00:00,14.970429,-24.638775,"280132_1_01",-25.6517468450172,13.2774821942441,"Yes","",216900.482509521,-25.6517468450172,13.2774821942441
"46","280132_1",2018-12-01 17:00:00,13.3764717375879,-25.6617063825532,"280132","280132_1",2018-12-01,"17:00:00",2018-12-01 17:00:00,14.970429,-24.638775,"280132_1_01",-25.6617063825532,13.3764717375879,"Yes","",208073.073518388,-25.6617063825532,13.3764717375879
"47","280132_1",2018-12-01 19:00:00,13.3774901606205,-25.5376397497452,"280132","280132_1",2018-12-01,"19:00:00",2018-12-01 19:00:00,14.970429,-24.638775,"280132_1_01",-25.5376397497452,13.3774901606205,"Yes","",201187.241202297,-25.5376397497452,13.3774901606205
"48","280132_1",2018-12-01 21:00:00,13.345677564399,-25.3124647256801,"280132","280132_1",2018-12-01,"21:00:00",2018-12-01 21:00:00,14.970429,-24.638775,"280132_1_01",-25.3124647256801,13.345677564399,"Yes","",193917.12982816,-25.3124647256801,13.345677564399
"49","280132_1",2018-12-01 23:00:00,13.1812271477253,-25.0632923988511,"280132","280132_1",2018-12-01,"23:00:00",2018-12-01 23:00:00,14.970429,-24.638775,"280132_1_01",-25.0632923988511,13.1812271477253,"Yes","",203195.240073223,-25.0632923988511,13.1812271477253
"50","280132_1",2018-12-02 01:00:00,13.0723765655531,-24.9305602131358,"280132","280132_1",2018-12-02,"01:00:00",2018-12-02 01:00:00,14.970429,-24.638775,"280132_1_01",-24.9305602131358,13.0723765655531,"Yes","",212350.297670609,-24.9305602131358,13.0723765655531
"51","280132_1",2018-12-02 03:00:00,13.050910491648,-24.9031828845413,"280132","280132_1",2018-12-02,"03:00:00",2018-12-02 03:00:00,14.970429,-24.638775,"280132_1_01",-24.9031828845413,13.050910491648,"Yes","",214285.107438312,-24.9031828845413,13.050910491648
"52","280132_1",2018-12-02 05:00:00,12.9619001859706,-24.7074116024734,"280132","280132_1",2018-12-02,"05:00:00",2018-12-02 05:00:00,14.970429,-24.638775,"280132_1_01",-24.7074116024734,12.9619001859706,"Yes","",222344.004594681,-24.7074116024734,12.9619001859706
"53","280132_1",2018-12-02 07:00:00,12.9142123125512,-24.484274506833,"280132","280132_1",2018-12-02,"07:00:00",2018-12-02 07:00:00,14.970429,-24.638775,"280132_1_01",-24.484274506833,12.9142123125512,"Yes","",228107.676585958,-24.484274506833,12.9142123125512
"54","280132_1",2018-12-02 09:00:00,13.0489106395866,-24.4513822861676,"280132","280132_1",2018-12-02,"09:00:00",2018-12-02 09:00:00,14.970429,-24.638775,"280132_1_01",-24.4513822861676,13.0489106395866,"Yes","",213555.894073933,-24.4513822861676,13.0489106395866
"55","280132_1",2018-12-02 11:00:00,13.302332408321,-24.5943530628472,"280132","280132_1",2018-12-02,"11:00:00",2018-12-02 11:00:00,14.970429,-24.638775,"280132_1_01",-24.5943530628472,13.302332408321,"Yes","",184620.314579221,-24.5943530628472,13.302332408321
"56","280132_1",2018-12-02 13:00:00,13.5783388401077,-24.7699687992881,"280132","280132_1",2018-12-02,"13:00:00",2018-12-02 13:00:00,14.970429,-24.638775,"280132_1_01",-24.7699687992881,13.5783388401077,"Yes","",154671.584952677,-24.7699687992881,13.5783388401077
"57","280132_1",2018-12-02 15:00:00,13.7644200974721,-24.8412840355808,"280132","280132_1",2018-12-02,"15:00:00",2018-12-02 15:00:00,14.970429,-24.638775,"280132_1_01",-24.8412840355808,13.7644200974721,"Yes","",135211.042747675,-24.8412840355808,13.7644200974721
