"","tracking_event","Date_Time","Latitude","Longitude","BirdId","trip_id"
"58","280132_1",2018-12-02 17:00:00,13.9171693907019,-24.7297187638487,"280132","280132_1"
"59","280132_1",2018-12-02 19:00:00,14.1201729074993,-24.6410531601256,"280132","280132_1"
"60","280132_1",2018-12-02 21:00:00,14.3948129563107,-24.6214033447244,"280132","280132_1"
"61","280132_1",2018-12-02 23:00:00,14.7816551375821,-24.5205700211135,"280132","280132_1"
"62","280136_1",2018-12-21 18:59:44,14.970967,-24.636848,"280136","280136_1"
"63","280136_1",2018-12-29 20:59:40,14.9318870282618,-24.6235360094689,"280136","280136_1"
"64","280136_1",2018-12-30 04:59:41,14.8439065229163,-24.5945125065995,"280136","280136_1"
"65","280136_1",2018-12-30 06:59:41,14.4580948520963,-24.4629401217845,"280136","280136_1"
"66","280136_1",2018-12-30 08:59:41,14.3015744745076,-24.3418196566394,"280136","280136_1"
"67","280136_1",2018-12-30 10:59:41,14.0801195459054,-24.209855651778,"280136","280136_1"
"68","280136_1",2018-12-30 12:59:41,14.0032123388586,-24.2379496990364,"280136","280136_1"
"69","280136_1",2018-12-30 14:59:41,14.0573638006908,-24.3546447360386,"280136","280136_1"
"70","280136_1",2018-12-30 16:59:41,14.2286010928187,-24.4882537258135,"280136","280136_1"
"71","280136_1",2018-12-30 18:59:41,14.2851671025094,-24.5651696390918,"280136","280136_1"
"72","280136_1",2018-12-30 20:59:41,14.6802995509117,-24.6119607740152,"280136","280136_1"
"73","280136_1",2018-12-30 22:59:41,14.9288607568566,-24.6312926542797,"280136","280136_1"
"74","280136_1",2018-12-31 20:59:47,14.8908242400573,-24.6073551521447,"280136","280136_1"
"75","280136_1",2018-12-31 22:59:47,14.8408122506376,-24.5917217826952,"280136","280136_1"
"76","280136_1",2019-01-01 00:59:47,14.6848860087558,-24.3449774608407,"280136","280136_1"
"77","280136_1",2019-01-01 02:59:47,14.5277870767187,-24.2081670710291,"280136","280136_1"
"78","280136_1",2019-01-01 04:59:47,14.4323014650792,-24.1769990514505,"280136","280136_1"
"79","280136_1",2019-01-01 06:59:47,14.4034473300135,-24.1845656452317,"280136","280136_1"
"80","280136_1",2019-01-01 08:59:47,14.2996132880006,-24.1788091661954,"280136","280136_1"
"81","280136_1",2019-01-01 10:59:47,13.9790606590623,-24.107728723136,"280136","280136_1"
"82","280136_1",2019-01-01 12:59:47,13.6313183424425,-23.9753322150087,"280136","280136_1"
"83","280136_1",2019-01-01 14:59:47,13.3915270181241,-23.8499940890888,"280136","280136_1"
"84","280136_1",2019-01-01 16:59:47,13.3185223164287,-23.8534360719996,"280136","280136_1"
"85","280136_1",2019-01-01 18:59:47,13.4709631575289,-24.107224229414,"280136","280136_1"
"86","280136_1",2019-01-01 20:59:47,13.4010013970209,-24.0781517738464,"280136","280136_1"
"87","280136_1",2019-01-01 22:59:47,13.3064733733212,-23.9904111082522,"280136","280136_1"
"88","280136_1",2019-01-02 00:59:47,13.275297094188,-23.9861194829124,"280136","280136_1"
"89","280136_1",2019-01-02 02:59:47,13.3160289844866,-24.0845210334185,"280136","280136_1"
"90","280136_1",2019-01-02 04:59:47,13.437184094194,-24.30488400776,"280136","280136_1"
"91","280136_1",2019-01-02 06:59:47,13.5108560483625,-24.4616107176161,"280136","280136_1"
"92","280136_1",2019-01-02 08:59:47,13.3764506004358,-24.3779488293655,"280136","280136_1"
"93","280136_1",2019-01-02 10:59:47,13.1695042546469,-24.1635381034243,"280136","280136_1"
"94","280136_1",2019-01-02 12:59:47,13.0154281948367,-23.9788687290899,"280136","280136_1"
"95","280136_1",2019-01-02 14:59:47,12.9917620194886,-24.0217139823289,"280136","280136_1"
